metric, Pearson, Spearman
wp, 0.2988152316411566, 0.34586522018763444
sp, 0.37649415920337187, 0.2975133709235656
lc, 0.3289952313631554, 0.2975133709235656
____________________________________
W1, W2, WP, SP, LC, GOLD
love, sex, 9.23, 5.00, 8.04, 6.77
tiger, cat, 9.66, 5.00, 8.04, 7.35
tiger, tiger, 10.00, 10.00, 9.93, 10.0
book, paper, 8.75, 3.33, 6.93, 7.46
computer, keyboard, 8.24, 2.50, 6.15, 7.62
computer, internet, 6.32, 1.25, 4.25, 7.58
plane, car, 7.27, 1.43, 4.62, 5.77
train, car, 7.37, 1.67, 5.04, 6.31
telephone, communication, 1.67, 0.91, 3.38, 7.5
television, radio, 9.09, 3.33, 6.93, 6.77
media, radio, 8.24, 2.50, 6.15, 7.42
drug, abuse, 1.82, 1.00, 3.64, 6.85
bread, butter, 7.50, 3.33, 6.93, 6.19
cucumber, potato, 8.24, 2.50, 6.15, 5.92
doctor, nurse, 8.24, 3.33, 6.93, 7.0
professor, doctor, 6.67, 1.43, 4.62, 6.62
student, professor, 5.33, 1.25, 4.25, 6.81
smart, student, 1.33, 0.71, 2.73, 4.62
smart, stupid, 1.33, 0.71, 2.73, 5.81
company, stock, 6.15, 1.67, 5.04, 7.08
stock, market, 5.56, 1.43, 4.62, 8.08
stock, phone, 7.00, 1.43, 4.62, 1.62
stock, CD, 7.37, 1.67, 5.04, 1.31
stock, jaguar, 8.15, 1.67, 5.04, 0.92
stock, egg, 6.25, 1.43, 4.62, 1.81
fertility, egg, 1.54, 0.83, 3.15, 6.69
stock, live, 2.86, 1.67, 5.04, 3.73
stock, life, 6.15, 1.67, 5.04, 0.92
book, library, 8.00, 3.33, 6.93, 7.46
bank, money, 5.71, 1.43, 4.62, 8.12
wood, forest, 10.00, 10.00, 9.93, 7.73
money, cash, 8.75, 3.33, 6.93, 9.15
professor, cucumber, 5.00, 0.77, 2.93, 0.31
king, cabbage, 5.71, 1.00, 3.64, 0.23
king, queen, 10.00, 10.00, 9.93, 8.58
king, rook, 9.09, 3.33, 6.93, 5.92
bishop, rabbi, 7.50, 2.00, 5.54, 6.69
Jerusalem, Israel, 7.00, 1.43, 4.62, 8.46
Jerusalem, Palestinian, 2.73, 0.59, 2.20, 7.65
holy, sex, 3.08, 1.00, 3.64, 1.62
fuck, sex, 8.57, 3.33, 6.93, 9.44
football, soccer, 9.52, 5.00, 8.04, 9.03
football, basketball, 9.00, 3.33, 6.93, 6.81
football, tennis, 7.62, 1.67, 5.04, 6.63
tennis, racket, 6.00, 1.11, 3.93, 7.56
Arafat, peace, 1.43, 0.77, 2.93, 6.73
Arafat, terror, 6.15, 1.67, 5.04, 7.65
Arafat, Jackson, 8.00, 2.50, 6.15, 2.5
law, lawyer, 1.67, 0.91, 3.38, 8.38
movie, star, 5.33, 1.25, 4.25, 7.38
movie, popcorn, 3.64, 0.71, 2.73, 6.19
movie, critic, 4.44, 0.91, 3.38, 6.73
movie, theater, 6.25, 1.43, 4.62, 7.92
physics, proton, 2.22, 0.67, 2.54, 8.12
physics, chemistry, 9.00, 3.33, 6.93, 7.35
space, chemistry, 4.44, 1.67, 5.04, 4.88
alcohol, chemistry, 6.67, 2.00, 5.54, 5.54
vodka, gin, 8.89, 3.33, 6.93, 8.46
vodka, brandy, 8.89, 3.33, 6.93, 8.13
drink, car, 2.86, 0.91, 3.38, 3.04
drink, ear, 4.62, 1.25, 4.25, 1.31
drink, mouth, 5.00, 1.43, 4.62, 5.96
drink, eat, 5.00, 3.33, 6.93, 6.87
baby, mother, 7.50, 2.00, 5.54, 7.85
drink, mother, 6.15, 1.67, 5.04, 2.65
car, automobile, 10.00, 10.00, 9.93, 8.94
gem, jewel, 10.00, 10.00, 9.93, 8.96
journey, voyage, 9.52, 5.00, 8.04, 9.29
boy, lad, 9.23, 5.00, 8.04, 8.83
coast, shore, 9.09, 5.00, 8.04, 9.1
asylum, madhouse, 9.52, 5.00, 8.04, 8.87
magician, wizard, 10.00, 10.00, 9.93, 9.02
midday, noon, 10.00, 10.00, 9.93, 9.29
furnace, stove, 5.26, 1.00, 3.64, 8.79
food, fruit, 4.00, 1.00, 3.64, 7.52
bird, cock, 9.52, 5.00, 8.04, 7.1
bird, crane, 8.70, 2.50, 6.15, 7.38
tool, implement, 9.33, 5.00, 8.04, 6.46
brother, monk, 9.33, 5.00, 8.04, 6.27
crane, implement, 7.50, 2.00, 5.54, 2.69
lad, brother, 6.67, 2.00, 5.54, 4.46
journey, car, 1.05, 0.56, 2.04, 5.85
monk, oracle, 5.33, 1.25, 4.25, 5.0
cemetery, woodland, 4.29, 1.11, 3.93, 2.08
food, rooster, 2.11, 0.62, 2.36, 4.42
coast, hill, 6.67, 2.00, 5.54, 4.38
forest, graveyard, 4.29, 1.11, 3.93, 1.85
shore, woodland, 6.00, 2.00, 5.54, 3.08
monk, slave, 6.67, 2.00, 5.54, 0.92
coast, forest, 5.45, 1.67, 5.04, 3.15
lad, wizard, 6.67, 2.00, 5.54, 0.92
chord, smile, 3.75, 0.91, 3.38, 0.54
