('noun.person', 'noun.person') | 27 | 44.26%
('noun.person', 'noun.group') | 6 | 9.84%
('noun.person', 'noun.artifact') | 5 | 8.2%
('noun.person', 'noun.act') | 4 | 6.56%
('noun.person', 'noun.entity') | 3 | 4.92%
('noun.person', 'noun.location') | 2 | 3.28%
('noun.person', 'noun.Tops') | 2 | 3.28%
('noun.cognition', 'noun.person') | 2 | 3.28%
('noun.artifact', 'noun.object') | 1 | 1.64%
('noun.person', 'noun.attribute') | 1 | 1.64%
('noun.person', 'noun.quantity') | 1 | 1.64%
('noun.group', 'noun.location') | 1 | 1.64%
('noun.communication', 'noun.entity') | 1 | 1.64%
('noun.person', 'noun.animal') | 1 | 1.64%
('noun.person', 'noun.communication') | 1 | 1.64%
('noun.person', 'noun.object') | 1 | 1.64%
('noun.person', 'noun.feeling') | 1 | 1.64%
('noun.person', 'adj.all') | 1 | 1.64%
