noun.person | (voter, nsubj)  | noun.cognition | (choice, obj) | opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice 
adj.all | (some, nsubj)  | noun.communication | (statement, obj) | it is impossible to get a fair trial when some of the defendants made statements involving themselves and others '' 
noun.person | (he, nsubj)  | noun.act | (attempt, obj) | as usual , he made no attempt to get in touch with carmine g de sapio , the manhattan leader 
noun.person | (leader, nsubj)  | noun.shape | (dent, obj) | the early southwest conference football leaders -- texas , arkansas and texas a & m -- made a big dent in the statistics last week 
noun.quantity | (19, nsubj)  | noun.group | (race, obj) | then last season the birds tumbled as low as 11-18 on may 19 before recovering to make a race of it and total 86 victories 
noun.person | (russell, nsubj)  | noun.cognition | (one, obj) | the living room has another scoop : jane russell will make one of her rare night club singing appearances there , opening jan 22 
noun.person | (loeb, nsubj)  | noun.communication | (arrangement, obj) | mrs arthur loeb is making arrangements for a reception ; ;
noun.person | (he, nsubj)  | noun.quantity | (suggestion, obj) | `` i hate to have these things come up again and again '' , dr jenkins commented as he made his suggestion 
noun.person | (taxpayer, nsubj)  | noun.communication | (appeal, obj) | about 70 north providence taxpayers made appeals to the board of tax assessors for a review of their 1961 tax assessments during the last two days at the town hall in centredale 
noun.artifact | (four, nsubj)  | noun.communication | (collection, obj) | thomas rotelli , head of rhode island incinerator service , inc , said four of the company's eight trucks were making collections with both newly hired and regular workers 
noun.person | (he, nsubj)  | noun.communication | (agreement, obj) | lee said he had told the jury that he made an agreement in april with stein to supply and supervise janitors in mccormick place 
noun.object | (murray, nsubj)  | noun.shape | (line, obj) | murray makes a complete line of ginning equipment except for driers and cleaners , and this machinery is purchased from a dallas-based firm 
noun.process | (increase, nsubj)  | noun.artifact | (equipment, obj) | the increase in mechanical harvesting of cotton makes cleaning and drying equipment a must for modern gin operation 
noun.person | (they, nsubj)  | noun.artifact | (saw, obj) | they make gin saws and deal in parts , supplies and some used gin machinery 
noun.location | (co, nsubj)  | noun.artifact | (equipment, obj) | the stacy co makes cleaning and drying equipment for sale largely in texas 
noun.act | (service, nsubj)  | noun.artifact | (saw, obj) | cotton belt gin service , inc of dallas makes gin saws and started here 14 years ago 
noun.person | (president, nsubj)  | noun.communication | (statement, obj) | the railroad president made the statement in an interview as the interstate commerce commission opened round 2 of its hearing into the c & o's request to control and then merge with the b & aj 
noun.person | (who, nsubj)  | noun.cognition | (reservation, obj) | and to encourage other churches to try their own programs , kern said this sunday's sessions -- including the free dinner -- will be open to anyone who makes reservations 
adj.all | (smallest, nsubj)  | noun.person | (they, nsubj) | `` it is a british austin , the smallest they make '' 
noun.person | (who, nsubj)  | noun.artifact | (trip, obj) | anticipated heavy traffic along the skyline drive failed to materialize yesterday , park rangers said , and those who made the trip got a leisurely view of the fall colors through skies swept clear of haze 
noun.location | (moscow, nsubj)  | noun.act | (inroad, obj) | the spirit served chiefly to lull the west while moscow made inroads into the middle east 
noun.person | (khrushchev, nsubj)  | noun.communication | (capital, obj) | premier khrushchev has made propaganda capital out of that fact and in the end got his summit meeting anyway 
noun.person | (president, nsubj)  | noun.act | (effort, obj) | finally , there was a wide area of agreement on the value of the president's making a final effort in the summit spotlight for a nuclear test accord 
noun.person | (man, nsubj)  | noun.cognition | (kind, obj) | a man does not make that kind of gamble if he suspects that one or more of the limited number of tenure positions is being reserved for members of the `` family '' 
noun.person | (they, nsubj)  | noun.event | (decision, obj) | competent teachers are well versed in the technique of leading students to pre-set conclusions without destroying the students' illusion that they are making their own decisions 
noun.artifact | (secretary, nsubj)  | noun.cognition | (report, obj) | at a closed-door session on capitol hill last week , secretary of state christian herter made his final report to the senate foreign relations committee on us affairs abroad 
noun.person | (he, nsubj)  | noun.communication | (speech, obj) | he is , of course , a segregationist , but he says he has never made an `` anti-negro '' speech 
noun.person | (man, nsubj)  | noun.act | (run, obj) | since 1927 , fewer than a dozen men have made serious runs at babe ruth's record and each , in turn , has been thwarted 
noun.person | (man, nsubj)  | noun.communication | (bid, obj) | always , in the abortive attacks upon ruth's record , one man alone -- a jimmy foxx ( 58 in 1932 ) or a hank greenberg ( 58 in 1938 ) or a hack wilson ( 56 in 1930 ) -- made the bid 
noun.person | (i, nsubj)  | noun.event | (play, obj) | `` when i've made a dumb play '' , he says , `` i don't want to talk to anyone 
